local_code,local_port_code,local_capacity,local_name,local_type,local_country,local_lalitude,local_longitude
228,10136,500,Larnaca,Warehouse,Cyprus,33.91666667,32.65
227,10136,500,Larnaca,Warehouse,Cyprus,31.91666667,34.65
226,10138,500,Marsaxlokk,Warehouse,Malta,36.84194,11.54306
231,10138,500,Marsaxlokk,Warehouse,Malta,34.84194,13.54306
232,10358,500,Aarhus,Warehouse,Denmark,52.15,11.21666667
239,10358,500,Aarhus,Warehouse,Denmark,54.15,9.21666667
238,10563,500,Copenhagen,Warehouse,Denmark,52.7,14.61666667
237,10563,500,Copenhagen,Warehouse,Denmark,51.7,12.61666667
236,10860,500,Matarani,Warehouse,Peru,-18,-73.1
235,11174,500,Genoa,Warehouse,Italy,42.4,9.4
241,11180,500,Grundartangi,Warehouse,Iceland,63.3572,-22.7781
242,11771,500,Kaliningrad,Warehouse,Russia,53.7,22.48333333
243,12543,500,Gdansk,Warehouse,Poland,41.183,-8.67977
244,13012,500,Leixoes,Warehouse,Portugal,44.18333333,-9.7
245,13176,500,Venice,Warehouse,Italy,43.43333333,14.33333333
246,13390,500,Setubal,Warehouse,Portugal,41.1524,-8.71024
247,14113,500,Bahia Blanca,Warehouse,Argentina,2,-77.66
248,14226,500,Esmeraldas,Warehouse,Ecuador,40.7424, -8.85362
249,14277,500,Manzanillo,Warehouse,Mexico,20.05,-105.3333333
250,14459,500,Constantza,Warehouse,Romania,43.16666667,29.65
251,14470,500,Galatz,Warehouse,Romania,43.41666667,25.08333333
252,14635,500,Los Angeles,Warehouse,United States,34.71666667,-119.2666667
253,15107,500,Cutuco,Warehouse,El Salvador,14.33333333,-86.81666667
254,16485,500,Helsinki,Warehouse,Finland,61.16666667,25.95
255,16737,500,Kotka,Warehouse,Finland,61.46666667,27.95
256,17386,500,Barcelona,Warehouse,Spain,41.3879,2.16992
257,17941,500,Montevideo,Warehouse,Uruguay,-35.9,-53.21666667
258,18012,500,Brest,Warehouse,France,46.4,-3.5
259,18137,500,Batumi,Warehouse,Georgia,42.65,43.63333333
260,18200,500,Vlore,Warehouse,Albania,43.48333333,18.48333333